AAC Technologies Holdings Inc.,"213167 No.3 Changcao Road Hi-Tech Industrial Zone Wujin Changzhou CityJiangsu Province China"
AAC Technologies Holdings Inc.,"Lot K4-2F Que Vo Ip Bac Ninh City Bac Ninh Vietnam"
AAC Technologies Holdings Inc.,"Yuhang Rd Shuyang Economic Develop Suqian City Jiangsu Province China"
Adeka Corporation,"70 Wanjusandan 2-Ro Bongdong-Eup Wanju-Gun Jeollabuk-Do Korea"
Advantest Corp.,"140 3Samgongdan 6-Ro Seobuk-Gu Cheonan-Si Chungcheongnam-Do Korea"
Advantest Corp.,"Rm.1215Luneng Plaza No.18 Taigu Rd Waigaoqiao Free Trade Zone Shanghai China"
Advantest Corp.,"Shin-Marunouchi Center Building 1-6 -2 Marunouchi Chiyoda-Ku Tokyo Japan"
Air Products and Chemicals Inc.,"7201 Hamilton Boulevard Allentown PA USA"
Air Products and Chemicals Inc.,"3 Nongseo-Ro 46Beon-Gil Giheung-Gu Yongin-Si Gyunggi-Do Korea"
Alps Electric Co.,"33 (Jangduk-Dong) Hanamsandan 5 Byunro Gwangsan-Gu Gwangju Korea"
Alps Electric Co.,"1-7 Yukigaya-Otsukamachi Ota-Ku Tokyo 145-8501 Japan"
Applied Materials Inc.,"8 Upper Changi North Road 506906 Singapore"
Applied Materials Inc.,"3050 Bowers Avenul Santa Clara CA USA"
Applied Materials Inc.,"(5F Korea Design Center Bldg.Yatap-Dong ) 322 Yanghyeon-Ro Bundang-GuSeongnam-Si Gyeonggi-Do Korea"
ASM International N.V.,"(1Dong Chungnam Technopark Cheonan Valley)136 Jiksan-Ro Jiksan-EupSeobuk-Gu Cheonan-Si Chungcheongnam-Do Korea"
ASM International N.V.,"3440 E University Phoenix Drive USA"
ASM Lithography Inc.,"Suites 3704-3706 Tower Two Times Square. 1 Matheson Street Causeway Bay Hongkong"
ASM Lithography Inc.,"2650 W. Geronimo Place Chandler AZ USA"
ASM Lithography Inc.,"25 5Gil Samsung 1 Ro Hwasung-Si Gyeonggi-Do Korea"
AU Optronics Corp.,"1 Li-Hsin Rd.2Science-Based Industrial Park Hsinchu Taiwan"
Avago Technologies Ltd.,"No 1 Yishun Avenue 7 Singapore"
Biel Crystal Manufactory Ltd.,"Block A 10/F. A1-A5 Mei Hing Ind. Bldg.16-18 Hing Yip Street Kwun Tong Hongkong"
BOE Technology Group Co.,"No. 118 Jinghaiyi Rd Bda Beijing China"
Bujeon Electronics Co.,"Phuong Lieu Commune-Que Vo District -Bac Ninh Province Vietnam"
Bujeon Electronics Co.,"No 903 3/2 Street Phu Xa Commune Thai Nguyen City Thai Nguyen Province Vietnam"
BUMJIN,"B Block Jinherui Industrial Park Shanpo Vilage Lilin Town Zhongkai High-Tech ZoneHuizhou City China"
BYD Co.,"Xiangshui River Economic Developme Nt Zone Daya Bay Huizhou Guangdong China"
BYD Co.,"No.3001 Baohe Road Baolong Indust Rial Town Longgang Shenzhen China"
BYD Co.,"No2 Yadi Road The New-Type Industrial Park Xi'An National Hi-Tech IndustrialDevelopment Zone China"
BYD Co.,"Yan An RoadKui Chong Long Gang Shenzhen China"
CammSys Corp.,"Ba Thien Industrial Ba Hien Commune Binh Xuyen Distric Vinh Phuc Province Vietnam"
Canon Inc.,"30-2 Shimomaruko 3-Chome Ohta-Ku Tokyo 146-8501 Japan"
Canon Inc.,"(9F 10F) 607 Teheran-Ro Gangnam-Gu Seoul Korea"
Canon Inc.,"One Canon Park Melville New York 11747 USA"
Cirrus Logic Inc.,"7B Nightingale Way Quartermile Edinburgh UK"
Coretronic Corp.,"No.2-1.Nanke 6Th.Road Tainan Scien Ce-Based Industrial Park Tainan County Taiwan"
Corning Inc.,"One Riverfront Plaza Corning New York  USA"
Daeduck Electronics Co.,"(Jeongwang-Dong) 335 Somanggongwon-Ro Gyeonggi-Do Korea"
Daeyoung Electronics Co.,"Lot Ht-2-1 Road D2 Ho Chi Minh Hi Ho Chi Minh City Dist 9 Vietnam"
Daifuku Co.,"Komakihara Komaki Aichi Japan"
Daifuku Co.,"14 Dongtanjiseong-Ro Hwaseong-So Gyeonggi-Do Korea"
Daifuku Co.,"7406 West Detroit Street Chandler USA"
DAP Corporation,"474-22 Anseongmachum-Road Miyang-Myeon Anseong-City Kyunggi-Do Korea"
Dongjin Semichem Co.,"644 Baekbeom-Ro Seo-Gu Incheon Korea"
Dongwoo Fine-Chem Co.,"132 Yakchon-Ro Iksan-Si Jeollabuk-Do Korea"
