BOE,"No.1700, Zhongshan North Road, Economic and Technological Development Zone, Wujiang District, Suzhou, Jiangsu, China "
BOE,"No.10-3, Bao Hong Road , Yubei District, Chongqing, China"
Compal,"No.20, Third Avenue, Kunshan Free Trade Zone, Jiangsu, China "
Coretronic,"No.1, Nan-Huan Road, ShaJing, BaoAn District, Shen Zhen City, Guangdong, China "
ECS,"No.9 Industrial Northern Road, Songshan Lake National High-Tech Industrial Development zone,Dongguan,Guandong, China "
Huaqin,"No.225, JinFeng Road, SuZhou New District, Suzhou, Jiangsu, China "
Lehui,"No.14, Haijing E. Road, Free Trade Zone, Xiamen, Fujian, China "
Lengda,"No.7 Building, Huaide Cuihai Industrial Park Fuyong,Bao'an District. Shenzhen, Guangdong, China"
Neostra,"Zone C B01, Lianglu Cuntan bonded port, Yubei District, Chongqing, China "
Pegatron,"No.169, Zhujiang Road, New District, Suzhou, Jiangsu, China "
Qisda,"Lane 18, Zongbao Road, Shapingba District, Chongqing, China"
Quanta," Rongqiao Economic and Technological Development Zone, Fuqing City,Fujian, China "
TPV,"No.38, East Keji Road, Torch Development Zone, Zhongshan City, Guangdong, China "
Wistron,"No. 18-9, Baohong Avenue, Wangjia Sub-district, Yubei District, Chongqing, China"
