Read me,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
The OECD indicators on Employment Protection Legislation,,,,,,,,,,,,,,,,,,,,,,,
"Scale from 0 (least restrictions) to 6 (most restrictions), last year available",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Protection of permanent workers against individual and collective dismissals,Protection of permanent workers against (individual) dismissal,Specific requirements for collective dismissal,Regulation on temporary forms of employment,,,,,,,,,,,,,,,,,,
OECD countries,,,,,,,,,,,,,,,,,,,,,,,
Australia,2013,1.94,1.57,2.88,1.04,,,,,,,,,,,,,,,,,,
Austria,2013,2.44,2.12,3.25,2.17,,,,,,,,,,,,,,,,,,
Belgium,2013,2.99,2.14,5.13,2.42,,,,,,,,,,,,,,,,,,
Canada,2013,1.51,0.92,2.97,0.21,,,,,,,,,,,,,,,,,,
Chile,2013,1.80,2.53,0.00,2.42,,,,,,,,,,,,,,,,,,
Czech Republic,2013,2.66,2.87,2.13,2.13,,,,,,,,,,,,,,,,,,
Denmark,2013,2.32,2.10,2.88,1.79,,,,,,,,,,,,,,,,,,
Estonia,2013,2.07,1.74,2.88,3.04,,,,,,,,,,,,,,,,,,
Finland,2013,2.17,2.38,1.63,1.88,,,,,,,,,,,,,,,,,,
France,2013,2.82,2.60,3.38,3.75,,,,,,,,,,,,,,,,,,
Germany,2013,2.84,2.53,3.63,1.75,,,,,,,,,,,,,,,,,,
Greece,2013,2.41,2.07,3.25,2.92,,,,,,,,,,,,,,,,,,
Hungary,2013,2.07,1.45,3.63,2.00,,,,,,,,,,,,,,,,,,
Iceland,2013,2.46,2.04,3.50,1.29,,,,,,,,,,,,,,,,,,
Ireland,2013,2.07,1.50,3.50,1.21,,,,,,,,,,,,,,,,,,
Israel,2013,2.22,2.35,1.88,1.58,,,,,,,,,,,,,,,,,,
Italy,2013,2.89,2.55,3.75,2.71,,,,,,,,,,,,,,,,,,
Japan,2013,2.09,1.62,3.25,1.25,,,,,,,,,,,,,,,,,,
Korea,2013,2.17,2.29,1.88,2.54,,,,,,,,,,,,,,,,,,
Luxembourg,2013,2.74,2.28,3.88,3.83,,,,,,,,,,,,,,,,,,
Mexico,2013,2.62,1.91,4.38,2.29,,,,,,,,,,,,,,,,,,
Netherlands,2013,2.94,2.84,3.19,1.17,,,,,,,,,,,,,,,,,,
New Zealand,2013,1.01,1.41,0.00,0.92,,,,,,,,,,,,,,,,,,
Norway,2013,2.31,2.23,2.50,3.42,,,,,,,,,,,,,,,,,,
Poland,2013,2.39,2.20,2.88,2.33,,,,,,,,,,,,,,,,,,
