AAC TECHNOLOGIES HOLDINGS,"213167 No.3 Changcao Road Hi-Tech Industrial Zone Wujin Changzhou CityJiangsu Province China"
AAC TECHNOLOGIES HOLDINGS,"Lot K4-2F Que Vo Ip Bac Ninh City Bac Ninh Vietnam"
AAC TECHNOLOGIES HOLDINGS,"Yuhang Rd Shuyang Economic Develop Suqian City Jiangsu Province China"
ADEKA,"70 Wanjusandan 2-Ro Bongdong-Eup Wanju-Gun Jeollabuk-Do Korea"
ADVANTEST,"140 3Samgongdan 6-Ro Seobuk-Gu Cheonan-Si Chungcheongnam-Do Korea"
ADVANTEST,"Rm.1215Luneng Plaza No.18 Taigu Rd Waigaoqiao Free Trade Zone Shanghai China"
ADVANTEST,"Shin-Marunouchi Center Building 1-6 -2 Marunouchi Chiyoda-Ku Tokyo Japan"
AIR PRODUCTS & CHEMICALS,"7201 Hamilton Boulevard Allentown PA USA"
AIR PRODUCTS & CHEMICALS,"3 Nongseo-Ro 46Beon-Gil Giheung-Gu Yongin-Si Gyunggi-Do Korea"
ALPS ELECTRIC,"33 (Jangduk-Dong) Hanamsandan 5 Byunro Gwangsan-Gu Gwangju Korea"
ALPS ELECTRIC,"1-7 Yukigaya-Otsukamachi Ota-Ku Tokyo 145-8501 Japan"
APPLIED MATERIALS,"8 Upper Changi North Road 506906 Singapore"
APPLIED MATERIALS,"3050 Bowers Avenul Santa Clara CA USA"
APPLIED MATERIALS,"(5F Korea Design Center Bldg.Yatap-Dong ) 322 Yanghyeon-Ro Bundang-GuSeongnam-Si Gyeonggi-Do Korea"
ASM INTERNATIONAL,"(1Dong Chungnam Technopark Cheonan Valley)136 Jiksan-Ro Jiksan-EupSeobuk-Gu Cheonan-Si Chungcheongnam-Do Korea"
ASM INTERNATIONAL,"3440 E University Phoenix Drive USA"
ASM LITHOGRAPHY,"Suites 3704-3706 Tower Two Times Square. 1 Matheson Street Causeway Bay Hongkong"
ASM LITHOGRAPHY,"2650 W. Geronimo Place Chandler AZ USA"
ASM LITHOGRAPHY,"25 5Gil Samsung 1 Ro Hwasung-Si Gyeonggi-Do Korea"
AU OPTRONICS,"1 Li-Hsin Rd.2Science-Based Industrial Park Hsinchu Taiwan"
AVAGO TECHNOLOGIES,"No 1 Yishun Avenue 7 Singapore"
BIEL CRYSTAL MANUFACTORY,"Block A 10/F. A1-A5 Mei Hing Ind. Bldg.16-18 Hing Yip Street Kwun Tong Hongkong"
BOE TECHNOLOGY GROUP,"No. 118 Jinghaiyi Rd Bda Beijing China"
BUJEON ELECTRONICS,"Phuong Lieu Commune-Que Vo District -Bac Ninh Province Vietnam"
BUJEON ELECTRONICS,"No 903 3/2 Street Phu Xa Commune Thai Nguyen City Thai Nguyen Province Vietnam"
BUMJIN,"B Block Jinherui Industrial Park Shanpo Vilage Lilin Town Zhongkai High-Tech ZoneHuizhou City China"
BYD,"Xiangshui River Economic Developme Nt Zone Daya Bay Huizhou Guangdong China"
BYD,"No.3001 Baohe Road Baolong Indust Rial Town Longgang Shenzhen China"
BYD,"No2 Yadi Road The New-Type Industrial Park Xi'An National Hi-Tech IndustrialDevelopment Zone China"
BYD,"Yan An RoadKui Chong Long Gang Shenzhen China"
CAMMSYS,"Ba Thien Industrial Ba Hien Commune Binh Xuyen Distric Vinh Phuc Province Vietnam"
CANON,"30-2 Shimomaruko 3-Chome Ohta-Ku Tokyo 146-8501 Japan"
CANON,"(9F 10F) 607 Teheran-Ro Gangnam-Gu Seoul Korea"
CANON,"One Canon Park Melville New York 11747 USA"
CIRRUS LOGIC,"7B Nightingale Way Quartermile Edinburgh UK"
CORETRONIC,"No.2-1.Nanke 6Th.Road Tainan Scien Ce-Based Industrial Park Tainan County Taiwan"
CORNING,"One Riverfront Plaza Corning New York  USA"
DAEDUCK ELECTRONICS,"(Jeongwang-Dong) 335 Somanggongwon-Ro Gyeonggi-Do Korea"
DAEYOUNG ELECTRONICS,"Lot Ht-2-1 Road D2 Ho Chi Minh Hi Ho Chi Minh City Dist 9 Vietnam"
DAIFUKU,"Komakihara Komaki Aichi Japan"
DAIFUKU,"14 Dongtanjiseong-Ro Hwaseong-So Gyeonggi-Do Korea"
DAIFUKU,"7406 West Detroit Street Chandler USA"
DAP,"474-22 Anseongmachum-Road Miyang-Myeon Anseong-City Kyunggi-Do Korea"
DONGJIN SEMICHEM,"644 Baekbeom-Ro Seo-Gu Incheon Korea"
DONGWOO FINE-CHEM,"132 Yakchon-Ro Iksan-Si Jeollabuk-Do Korea"
DONGYANG E&P,"76 Jinwisandanro Jinwi-Myeon Pyeongtaek-Si Gyeonggi-Do Korea"
DONGYANG E&P,"Tongqiao Industrial Base Zhongkai H Igh-Tech Zone Huizhou Guangdong Province China"
DONGYANG E&P,"Nhan Hoa Ward-My Hao District-Hung Yen Province Vietnam"
DOOSUNG TECH,"Luong Son Ip Hoa Son Commune Hoa Binh Luong Son Vietnam"
DR ENC SA DE CV,"Manufacturas 622 Santa Rosa Jauregui Queretaro Mexico"
DREAMTECH,"No.100 Huu Nghi Road Vsip Bac Ninh Tu Son Town Bac Ninh Province Vietnam"
EDWARDS,"96 3Gongdan 1-Ro Seobuk-Gu Cheonan-Si Chungcheongnam-Do Korea"
ELENTEC,"44F Quang Minh Industrial Zone Ha Noi Vietnam"
ELENTEC,"B-37 Sector-80 Phase-Ii  Noida (Up) India"
ELENTEC,"Eou Unit 57/1&2 Ecotech-I Extens Ion-I Greater Noida India"
ELENTEC,"2247 Jalan Rajawali Kampung Batu 9 Kebun Baru 42500 Telok Panglima GarangSelangor Malaysia"
EM-TECH,"Yen Phong Ip Yen Phong District Bac Ninh Province Vietnam"
EM-TECH,"Huaxian Road Danshan Industrial Area Chengyang District Qingdao CityShandong Province China"
ENTEGRIS,"72 Je2Gongdan 1-Gil Miyang-Myeon Anseong-Si Gyeonggi-Do Korea"
ENTEGRIS,"129 Concord Road Billerica MA USA"
ENTEGRIS,"117 Jonathan Blvd N Chaska MN USA"
ENTEGRIS,"31 Kaki Bukit Road 3 06-08/11 Tech Link Singapore"
GOERTEK,"No.268 Dongfang Road Hi-Tech Indust Ry Development District Weifang Shandong China"
GOERTEK,"Lot L-06 Que Vo Industrial Park Nam Son Commune Bac Ninh City Bac Ninh ProvinceVietnam"
HANYANG ENG COLTD,"72 Yeongtong-Ro 26Beon-Gil Hwaseong-Si Gyeonggi-Do Korea"
HITACHI,"46 2Gongdan 8-Gil Seobuk-Gu Cheonan-Si Chungcheongnam-Do Korea"
HITACHI,"24-14 Nishi-Shimbashi 1-Chome Minato-Ku Tokyo Japan"
HITACHI,"15-12 Nishi-Shimbashi 2-Chome Minato-Ku Tokyo Japan"
HITACHI,"Grantokyo South Tower 9-2 Marunou Chi 1-ChomeChiyoda-Ku Tokyo 100- 6606 Japan"
HITACHI,"2150 N. 1St Street Ste. 350 San Jose CA USA"
HITACHI,"1601A Room 16FBlk.1No.18Taigu RoadWaigaoqiao Free Trade Zone 2001 31Shanghai China"
HITACHI,"8F Young Poong Bldg. 41 Cheonggyecheon-Ro Chongro-Ku Seoul Korea"
HITACHI,"92 Sanho-Daero Gumi-Si Gyeongsangbuk-Do 730-906 Korea"
HITACHI,"2460 North First Street Suite 290 San Jose CA USA"
HNT ELECTRONICS,"Luong Son Industrial Zone Km 36 National Road 6 Hoa Son ward Luong Son districtHoa Binh province Vietnam"
HOSIDEN,"Lot 1 Quang Chau Ip Viet Yen Dics Trict Bac Giang Province Vietnam"
IBIDEN,"15# Rongchang East Street Bda Beijing China"
IBIDEN,"3-200 Gama-Cho Ogaki Gifu Pref Japan"
INNOLUX,"No.160 Kesyue Rd. Chu-Nan Site Hs Inchu Science Park Chu-Nan Miao-LI Taiwan"
INTEL,"69/F Central Plaza 18 Harbour Road Wanchai Hongkong"
INTOPS,"Yen Phong 1Z. Yen Phong Dist. Bac Ninh Province Vietnam"
INTOPS,"Lot I-10-2D2 Road District 9 Ho Chi Minh Vietnam"
INTOPS,"148 Okgye 2 Gongdan-Ro Gumi-Si Gyeongsangbuk-Do Korea"
INZI DISPLAY,"7880 Airway Road Suite# B6E San Diego San Diego CA 92154 USA"
INZI DISPLAY,"Plot 220 Road 10 Amata Industrial Dong Nai Long Binh Ward Bien Hoa City Vietnam"
JAHWA ELECTRONICS,"Plot 10 Khai Quang Industrial Park  Vinh Yen City Vinh Phuc Province  Vietnam"
JIANGSU SIMAND ELECTRIC,"No.111Kangyuan Road Xiangcheng District Suzhou China"
JX NIPPON MINING & METALS,"54 Hansan-Gil Cheongbuk-Myeon Pyeongtaek-Si Gyeonggi-Do Korea"
JX NIPPON MINING & METALS,"125 North Price Rd Chandler USA"
JX NIPPON MINING & METALS,"1008164 1-2 Otemachi 1Chome Chiyoda-Ku Tokyo Japan"
KIRIN PRECISION,"(Hanamdong) 106 287 Sonjae-Ro Gwangsan-Gu Gwangju Korea"
KLA-TENCOR,"One Technology Drive Milpitas California USA"
KYOCERA,"116 Beomjigi-Ro Danwon-Gu Ansan-Si Gyeonggi-Do Korea"
KYOCERA,"13F Kamco Yangjae Tower 262 Kangnamdae-Ro Kangnam-Gu Seoul Korea"
