ACBEL POLYTECH,Dongguan 
ACCURIDE INTERNATIONAL PRECISION INDUSTRIAL,Suzhou
ADVANCED MICRO DEVICES,USA 
ARTESYN TECHNOLOGIES ASIA-PACIFIC,Zhongshan 
ASIA VITAL COMPONENTCO,Shenzhen 
ASIA VITAL COMPONENTS,Dongguan 
BIEL CRYSTAL,Shenzhen 
BITLAND INFORMATION TECHNOLOGY,Hefei 
CHICONY POWER TECHNOLOGY,Dongguan 
COMPAL INFORMATION TECHNOLOGY,Kunshan 
TAISOL ELECTRONICS,Dongguan 
JIATIAN ELECTRONICS TECHNOLOGY COLTD,Dongguan 
ENVISION INDÚSTRIA DE PRODUTOS ELETRÔNICOS,Brazil 
FLEXTRONICS TECHNOLOGY SDN,Malaysia 
FOXCONN,WuHan 
HONGFUJIN PRECISION ELECTRONICS,Chongqing 
FSP TECHNOLOGY,Shenzhen 
GOLDEN ELITE TECHNOLOGY,Shenzhen 
GOODWAY ELECTRONIC,Kunshan 
GUANGXI SANCHUANG TECHNOLOGY COLTD,Beihai 
HUNTKEY DISPLAY TECHNOLOGY,Hefei 
HGST,Thailand 
HITACHI-LG DATA STORAGE,Huizhou 
IBM,USA 
INTEL SEMICONDUCTOR US,USA 
INVENTEC TECHNOLOGY,Pudong 
JING MOLD ELECTRONICS TECHNOLOGY COLTD,Shenzhen 
KARRIE INTERNATIONAL HOLDINGS,Dongguan 
K-TRONICS TECHNOLOGY,Suzhou 
LUXSHARE PRECISION INDUSTRY,Dongguan 
MICRON SEMICONDUCTOR ASIA,Singapore 
MICROSOFT,USA 
MICRO-STAR INT'L COMPUTER,Shenzhen 
MURATA,Japan 
MUTTO,Suzhou 
SEMICONDUCTOR MFG,Taiwan 
PHILIPS & LITE-ON DIGITAL SOLUTION,Beihai 
QORVO,Dezhou 
QUANTA COMPUTER,Taiwan 
RAMAXEL TECHNOLOGY,Huizhou 
ROHM,Japan 
SAMSUNG ELECTRONICS SEMICONDUCTOR,Suzhou 
SEAGATE TECHNOLOGY,Wuxi 
SHARETRONIC DATE TECHNOLOGY,DongGuan 
SHARP,Japan 
BITLAND INFORMATION TECHNOLOGY,Shenzhen 
DJN OPTRONICS TECHNOLOGY COLTD,Shenzhen 
HUNTKEY ELECTRIC,Shenzhen 
SK HYNIX SEMICONDUCTOR,Wuxi 
SKYWORKS SOLUTIONS,Mexico 
SONY,Japan 
TAIYO YUDEN COLTD,Japan 
TEXAS INSTRUMENTS,USA 
TPV ELECTRONICS,Fuqing 
UNIVERSAL SCIENTIFIC INDUSTRIALELECTRONICS COLTD,Shenzhen 
WESTERN DIGITAL SDNBHD,Malaysia 
WISTRON INFOCOMM,Kunshan 
WISTRON INFOCOMM,Zhongshan 
TIANMA MICRO-ELECTRONICS,Xiamen 
