Name, Revenues($M), Profits($M), Assets($M), Market Value($M), Employees
Walmart,"$514,405.0","$6,670.0","$219,295.0","$279,880.3","2,200,000"
Exxon Mobil,"$290,212.0","$20,840.0","$346,196.0","$342,172.0","71,000"
Apple,"$265,595.0","$59,531.0","$365,725.0","$895,667.4","132,000"
Berkshire Hathaway,"$247,837.0","$4,021.0","$707,794.0","$493,870.3","389,000"
Amazon.com,"$232,887.0","$10,073.0","$162,648.0","$874,709.5","647,500"
UnitedHealth Group,"$226,247.0","$11,986.0","$152,221.0","$237,255.5","300,000"
McKesson,"$208,357.0","$67.0","$60,381.0","$22,455.1","68,000"
CVS Health,"$194,579.0","$-594.0","$196,456.0","$69,951.6","295,000"
AT&T,"$170,756.0","$19,370.0","$531,864.0","$228,444.7","268,220"
AmerisourceBergen,"$167,939.6","$1,658.4","$37,669.8","$16,785.9","20,500"
Chevron,"$166,339.0","$14,824.0","$253,863.0","$234,049.7","48,600"
Ford Motor,"$160,338.0","$3,677.0","$256,540.0","$35,028.0","199,000"
General Motors,"$147,049.0","$8,014.0","$227,339.0","$52,291.7","173,000"
Costco Wholesale,"$141,576.0","$3,134.0","$40,830.0","$106,512.6","194,000"
Alphabet,"$136,819.0","$30,736.0","$232,792.0","$816,824.2","98,771"
Cardinal Health,"$136,809.0","$256.0","$39,951.0","$14,349.5","50,200"
Walgreens Boots Alliance,"$131,537.0","$5,024.0","$68,124.0","$59,691.7","299,000"
JPMorgan Chase,"$131,412.0","$32,474.0","$2,622,532.0","$331,451.5","256,105"
Verizon Communications,"$130,863.0","$15,528.0","$264,829.0","$244,327.9","144,500"
Kroger,"$121,162.0","$3,110.0","$38,118.0","$19,630.8","453,000"
General Electric,"$120,268.0","$-22,355.0","$309,129.0","$87,009.3","283,000"
Fannie Mae,"$120,101.0","$15,959.0","$3,418,318.0","$3,242.6","7,400"
Phillips 66,"$114,217.0","$5,595.0","$54,302.0","$43,240.7","14,200"
Valero Energy,"$111,407.0","$3,122.0","$50,155.0","$35,426.1","10,261"
Bank of America,"$110,584.0","$28,147.0","$2,354,507.0","$265,938.5","204,489"
Microsoft,"$110,360.0","$16,571.0","$258,848.0","$904,860.9","131,000"
Home Depot,"$108,203.0","$11,121.0","$44,003.0","$211,828.0","413,000"
Boeing,"$101,127.0","$10,460.0","$117,359.0","$215,304.7","153,000"
Wells Fargo,"$101,060.0","$22,393.0","$1,895,883.0","$219,467.1","258,700"
Citigroup,"$97,120.0","$18,045.0","$1,917,383.0","$145,625.4","204,000"
Marathon Petroleum,"$97,102.0","$2,780.0","$92,940.0","$40,258.2","60,350"
Comcast,"$94,507.0","$11,731.0","$251,684.0","$180,948.0","184,000"
Anthem,"$92,105.0","$3,750.0","$71,571.0","$73,826.6","63,900"
Dell Technologies,"$90,621.0","$-2,310.0","$111,820.0","$42,170.5","157,000"
DuPont de Nemours,"$85,977.0","$3,844.0","$188,030.0","$120,201.4","98,000"
State Farm Insurance,"$81,732.2","$8,788.4","$272,518.4","-","56,788"
Johnson & Johnson,"$81,581.0","$15,297.0","$152,954.0","$372,228.9","135,100"
IBM,"$79,591.0","$8,728.0","$123,382.0","$125,560.1","381,100"
Target,"$75,356.0","$2,937.0","$41,290.0","$41,440.9","360,000"
Freddie Mac,"$73,598.0","$9,235.0","$2,063,060.0","$1,748.7","6,621"
United Parcel Service,"$71,861.0","$4,791.0","$50,016.0","$96,116.3","364,575"
Lowe's,"$71,309.0","$2,314.0","$34,508.0","$87,685.5","245,000"
Intel,"$70,848.0","$21,053.0","$127,963.0","$241,488.9","107,400"
MetLife,"$67,941.0","$5,123.0","$687,538.0","$40,751.0","48,000"
Procter & Gamble,"$66,832.0","$9,750.0","$118,310.0","$260,289.4","92,000"
United Technologies,"$66,501.0","$5,269.0","$134,211.0","$111,146.0","240,200"
FedEx,"$65,450.0","$4,572.0","$52,330.0","$47,270.8","359,000"
PepsiCo,"$64,661.0","$12,515.0","$77,648.0","$172,094.7","267,000"
Archer Daniels Midland,"$64,341.0","$1,810.0","$40,833.0","$24,156.7","31,600"
Prudential Financial,"$62,992.0","$4,074.0","$815,078.0","$37,517.7","50,492"
Centene,"$60,116.0","$900.0","$30,901.0","$21,939.7","47,300"
Albertsons,"$59,924.6","$46.3","$21,812.3","-","275,000"
Walt Disney,"$59,434.0","$12,598.0","$98,598.0","$199,589.9","201,000"
