Acbel Polytech Inc. ,Dongguan 
"Accuride International Precision Industrial CO., LTD ",Suzhou ,
Advanced Micro Devices INC , USA 
Artesyn Technologies Asia-Pacific LTD ,Zhongshan 
Asia Vital Component,"Co., Ltd. ",Shenzhen 
"Asia Vital Components Co., Ltd. ",Dongguan 
Biel Crystal ,Shenzhen 
Bitland Information Technology Co. Ltd ,Hefei 
Chicony Power Technology Co. Ltd ,Dongguan 
Supplier Name ,Location 
"Compal Information Technology CO., LTD ",Kunshan 
TaiSol Electronics Co. Ltd ,Dongguan 
"JIATIAN ELECTRONICS TECHNOLOGY CO.,LTD ",Dongguan 
Envision Indústria de Produtos Eletrônicos Ltda. ,Brazil 
Flextronics Technology (Penang) Sdn. Bhd ,Malaysia 
Foxconn ,WuHan 
"Hongfujin Precision Electronics Co., Ltd ",Chongqing 
FSP TECHNOLOGY INC. ,Shenzhen 
Golden Elite Technology Ltd. ,Shenzhen 
"Goodway Electronic Co., Ltd. ",Kunshan 
"GUANGXI SANCHUANG TECHNOLOGY CO.,LTD ",Beihai 
Huntkey Display Technology Co. Ltd. ,Hefei 
HGST Ltd. ,Thailand 
Hitachi-LG Data Storage Ltd.,Huizhou 
IBM Corporation , USA 
Intel Semiconductor US LLC , USA 
Inventec Technology Corporation ,Pudong 
"JING MOLD ELECTRONICS TECHNOLOGY CO.,LTD ",Shenzhen 
KARRIE INTERNATIONAL HOLDINGS LTD ,Dongguan 
"K-TRONICS TECHNOLOGY CO., LTD. ",Suzhou 
"Luxshare Precision Industry Co., Ltd. ",Dongguan 
Micron Semiconductor Asia Pte Ltd ,Singapore 
Microsoft Corporation , USA 
"Micro-Star Int'l Computer Co., Ltd. ",Shenzhen 
Murata ,Japan 
Mutto ,Suzhou 
Supplier Name ,Location 
Semiconductor Mfg. Company ,Taiwan 
Philips & LITE-ON Digital Solution Corp. ,Beihai 
"Qorvo Co., Ltd. ",Dezhou 
Quanta Computer Inc. ,Taiwan 
Ramaxel Technology Ltd. ,Huizhou 
Rohm ,Japan 
Samsung Electronics,Semiconductor ,Suzhou 
Seagate Technology Co. Ltd ,Wuxi 
Sharetronic Date Technology Co. Ltd. ,DongGuan 
Sharp ,Japan 
"Bitland Information Technology Co., Ltd ",Shenzhen 
"DJN Optronics Technology CO.,LTD ",Shenzhen 
"Huntkey Electric Co., Ltd ",Shenzhen 
SK Hynix Semiconductor INC ,Wuxi 
"Skyworks Solutions, Inc. ",Mexico 
Sony ,Japan 
"TAIYO YUDEN CO.,LTD ",Japan 
Texas Instruments , USA 
TPV Electronics (Fujian) Co. Ltd ,Fuqing 
Universal Scientific Industrial,"Electronics CO.,LTD ",Shenzhen 
Western Digital (M) sdn.bhd. ,Malaysia 
"WISTRON INFOCOMM CO., LTD ",Kunshan 
Wistron InfoComm Corporation ,Zhongshan 
"Tianma Micro-electronics Co., Ltd. ",Xiamen 
